timestamp,event_type,details,window_title,application,bbox_x,bbox_x,bbox_width,bbox_height
2025-08-22T14:29:37.384000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Shivam Burnwal | data.tag=input | data.id=OrderCreatedBy | data.name=OrderCreatedBy | data.labelText=Received By | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:29:37.407000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Shivam Burnwal | data.tag=input | data.id=OrderCreatedBy | data.name=OrderCreatedBy | data.labelText=Received By,,tab-581319201,,,,
2025-08-22T14:29:45.191000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=22-08-2025 | data.tag=input | data.id=OrderCreatedDate | data.name=OrderCreatedDate | data.labelText=Received Date,,tab-581319201,,,,
2025-08-22T14:29:45.407000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.selector=input#AuthorizedBy.form-control.text-box.single-line | data.tag=input | data.class=form-control text-box single-line | data.id=AuthorizedBy | data.name=AuthorizedBy | data.labelText=AuthorizedBy | data.parentForm.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.parentForm.method=post,,tab-581319201,238.0,238.0,427.0,37.0
2025-08-22T14:29:47.518000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Me | data.tag=input | data.id=AuthorizedBy | data.name=AuthorizedBy | data.labelText=AuthorizedBy | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:29:47.534000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Me | data.tag=input | data.id=AuthorizedBy | data.name=AuthorizedBy | data.labelText=AuthorizedBy,,tab-581319201,,,,
2025-08-22T14:29:49.554000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=textarea | data.tag=textarea | data.id=DeliveryAddress | data.name=DeliveryAddress | data.labelText=Delivery Address,,tab-581319201,,,,
2025-08-22T14:29:54.110000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=1 | data.tag=input | data.id=LineItems_0__ItemCode | data.name=LineItems[0].ItemCode | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:29:54.132000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=1 | data.tag=input | data.id=LineItems_0__ItemCode | data.name=LineItems[0].ItemCode,,tab-581319201,,,,
2025-08-22T14:29:59.674000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Item1 | data.tag=input | data.id=LineItems_0__ItemName | data.name=LineItems[0].ItemName | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:29:59.692000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Item1 | data.tag=input | data.id=LineItems_0__ItemName | data.name=LineItems[0].ItemName,,tab-581319201,,,,
2025-08-22T14:30:03.312000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Stationary | data.tag=input | data.id=LineItems_0__ItemCategory | data.name=LineItems[0].ItemCategory | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:30:03.333000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Stationary | data.tag=input | data.id=LineItems_0__ItemCategory | data.name=LineItems[0].ItemCategory,,tab-581319201,,,,
2025-08-22T14:30:04.621000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=10 | data.tag=input | data.id=LineItems_0__Quantity | data.name=LineItems[0].Quantity | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:30:04.647000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=10 | data.tag=input | data.id=LineItems_0__Quantity | data.name=LineItems[0].Quantity,,tab-581319201,,,,
2025-08-22T14:30:10.873000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=25-08-2025 | data.tag=input | data.id=LineItems_0__RequestedDeliveryDate | data.name=LineItems[0].RequestedDeliveryDate | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:30:10.895000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=25-08-2025 | data.tag=input | data.id=LineItems_0__RequestedDeliveryDate | data.name=LineItems[0].RequestedDeliveryDate,,tab-581319201,,,,
2025-08-22T14:30:14.030000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=text | data.value=Low | data.tag=input | data.id=LineItems_0__Priority | data.name=LineItems[0].Priority | data.key=Enter | data.code=Enter,,tab-581319201,,,,
2025-08-22T14:30:14.044000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.type=submit | data.selector=button.btn.btn-primary | data.tag=button | data.class=btn btn-primary | data.parentForm.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.parentForm.method=post,,tab-581319201,87.0,87.0,76.0,38.0
2025-08-22T14:30:14.107000+00:00,FormAction,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Create | data.method=post,,tab-581319201,,,,
2025-08-22T14:30:15.663000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry,xbot-test.exlservice.com/Reconciliation/OrderEntry,tab-581319201,,,,
2025-08-22T14:30:17.845000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry,CRM - Order Entry,tab-581319201,,,,
2025-08-22T14:30:20.938000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry | data.selector=a.btn.btn-sm.btn-primary | data.tag=a | data.class=btn btn-sm btn-primary me-1,,tab-581319201,633.0,633.0,69.0,30.0
2025-08-22T14:30:21.389000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8,xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8,tab-581319201,,,,
2025-08-22T14:30:22.255000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8,CRM - Update Order,tab-581319201,,,,
2025-08-22T14:30:25.485000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.selector=input#LineItems_1__ItemCode.form-control.text-box.single-line | data.tag=input | data.class=form-control text-box single-line | data.id=LineItems_1__ItemCode | data.name=LineItems[1].ItemCode | data.parentForm.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.parentForm.method=post,,tab-581319201,107.0,107.0,74.0,37.0
2025-08-22T14:30:26.861000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=2 | data.tag=input | data.id=LineItems_1__ItemCode | data.name=LineItems[1].ItemCode | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:30:26.884000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=2 | data.tag=input | data.id=LineItems_1__ItemCode | data.name=LineItems[1].ItemCode,,tab-581319201,,,,
2025-08-22T14:30:28.745000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=Item2 | data.tag=input | data.id=LineItems_1__ItemName | data.name=LineItems[1].ItemName | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:30:28.777000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=Item2 | data.tag=input | data.id=LineItems_1__ItemName | data.name=LineItems[1].ItemName,,tab-581319201,,,,
2025-08-22T14:30:34.418000+00:00,KeyPress,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=Electronics | data.tag=input | data.id=LineItems_1__ItemCategory | data.name=LineItems[1].ItemCategory | data.key=Tab | data.code=Tab,,tab-581319201,,,,
2025-08-22T14:30:34.440000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=Electronics | data.tag=input | data.id=LineItems_1__ItemCategory | data.name=LineItems[1].ItemCategory,,tab-581319201,,,,
2025-08-22T14:30:38.910000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=2 | data.tag=input | data.id=LineItems_1__Quantity | data.name=LineItems[1].Quantity,,tab-581319201,,,,
2025-08-22T14:30:39.137000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.selector=input#LineItems_1__RequestedDeliveryDate.form-control.text-box.single-line | data.tag=input | data.class=form-control text-box single-line | data.id=LineItems_1__RequestedDeliveryDate | data.name=LineItems[1].RequestedDeliveryDate | data.parentForm.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.parentForm.method=post,,tab-581319201,599.0,599.0,187.0,37.0
2025-08-22T14:30:45.432000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=01-09-2025 | data.tag=input | data.id=LineItems_1__RequestedDeliveryDate | data.name=LineItems[1].RequestedDeliveryDate,,tab-581319201,,,,
2025-08-22T14:30:45.644000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.selector=input#LineItems_1__Priority.form-control.text-box.single-line | data.tag=input | data.class=form-control text-box single-line | data.id=LineItems_1__Priority | data.name=LineItems[1].Priority | data.parentForm.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.parentForm.method=post,,tab-581319201,581.0,581.0,63.0,37.0
2025-08-22T14:30:49.172000+00:00,Focus,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=text | data.value=High | data.tag=input | data.id=LineItems_1__Priority | data.name=LineItems[1].Priority,,tab-581319201,,,,
2025-08-22T14:30:49.400000+00:00,Click,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.type=submit | data.selector=button.btn.btn-primary | data.tag=button | data.class=btn btn-primary | data.parentForm.action=https://xbot-test.exlservice.com/Reconciliation/OrderEntry/Edit?orderId=8779feb8-f15e-45f2-a70d-77a5de459ab8 | data.parentForm.method=post,,tab-581319201,87.0,87.0,93.0,38.0
